,event,team_h,team_a,kickoff_time
0,1,1,13,2018-08-12T15:00:00Z
1100,1,2,5,2018-08-11T14:00:00Z
6452,1,9,7,2018-08-11T14:00:00Z
5372,1,10,6,2018-08-11T14:00:00Z
1936,1,12,19,2018-08-12T12:30:00Z
10927,1,14,11,2018-08-10T19:00:00Z
14985,1,15,17,2018-08-11T11:30:00Z
3207,1,16,4,2018-08-12T12:30:00Z
2136,1,18,3,2018-08-11T14:00:00Z
5157,1,20,8,2018-08-11T16:30:00Z
2137,2,3,14,2018-08-19T15:00:00Z
3208,2,4,18,2018-08-19T12:30:00Z
4246,2,5,15,2018-08-18T11:30:00Z
1,2,6,1,2018-08-18T16:30:00Z
1937,2,7,12,2018-08-20T19:00:00Z
5158,2,8,16,2018-08-18T14:00:00Z
10928,2,11,20,2018-08-18T14:00:00Z
9810,2,13,10,2018-08-19T12:30:00Z
8741,2,17,9,2018-08-18T14:00:00Z
1101,2,19,2,2018-08-18T14:00:00Z
2,3,1,19,2018-08-25T14:00:00Z
1102,3,2,8,2018-08-25T14:00:00Z
3209,3,9,4,2018-08-26T15:00:00Z
4247,3,10,5,2018-08-25T14:00:00Z
1938,3,12,3,2018-08-25T16:30:00Z
13910,3,14,17,2018-08-27T19:00:00Z
5374,3,15,6,2018-08-26T15:00:00Z
10929,3,16,11,2018-08-25T14:00:00Z
6454,3,18,7,2018-08-26T12:30:00Z
12989,3,20,13,2018-08-25T11:30:00Z
2139,4,3,9,2018-09-01T14:00:00Z
3210,4,4,14,2018-09-02T15:00:00Z
3,4,5,1,2018-09-02T12:30:00Z
1103,4,6,2,2018-09-01T14:00:00Z
6455,4,7,16,2018-09-01T14:00:00Z
5160,4,8,10,2018-09-01T14:00:00Z
1939,4,11,12,2018-09-01T11:30:00Z
12990,4,13,15,2018-09-01T16:30:00Z
17291,4,18,17,2018-09-02T15:00:00Z
19536,4,19,20,2018-09-01T14:00:00Z
1104,5,2,11,2018-09-15T14:00:00Z
4249,5,6,5,2018-09-15T14:00:00Z
5161,5,8,19,2018-09-16T15:00:00Z
6456,5,10,7,2018-09-15T14:00:00Z
8744,5,13,9,2018-09-15T14:00:00Z
4,5,15,1,2018-09-15T14:00:00Z
2140,5,16,3,2018-09-17T19:00:00Z
1940,5,17,12,2018-09-15T11:30:00Z
13912,5,18,14,2018-09-15T16:30:00Z
3211,5,20,4,2018-09-16T12:30:00Z
5,6,1,8,2018-09-23T15:00:00Z
2141,6,3,17,2018-09-22T16:30:00Z
1105,6,4,2,2018-09-22T14:00:00Z
4250,6,5,13,2018-09-22T14:00:00Z
6457,6,7,15,2018-09-22T14:00:00Z
8745,6,9,18,2018-09-22T11:30:00Z
9814,6,11,10,2018-09-22T14:00:00Z
1941,6,12,16,2018-09-22T14:00:00Z
13913,6,14,20,2018-09-22T14:00:00Z
5377,6,19,6,2018-09-23T12:30:00Z
6,7,1,18,2018-09-29T14:00:00Z
1106,7,2,7,2018-10-01T19:00:00Z
3213,7,5,4,2018-09-30T15:00:00Z
1942,7,6,12,2018-09-29T16:30:00Z
5163,7,8,9,2018-09-29T14:00:00Z
9815,7,10,17,2018-09-29T14:00:00Z
2142,7,13,3,2018-09-29T14:00:00Z
10933,7,15,11,2018-09-29T14:00:00Z
13914,7,19,14,2018-09-29T11:30:00Z
16123,7,20,16,2018-09-29T14:00:00Z
2143,8,3,19,2018-10-05T19:00:00Z
3214,8,4,10,2018-10-06T14:00:00Z
6459,8,7,20,2018-10-06T14:00:00Z
7,8,9,1,2018-10-07T11:00:00Z
5164,8,11,8,2018-10-06T14:00:00Z
1943,8,12,13,2018-10-07T15:30:00Z
13915,8,14,15,2018-10-06T16:30:00Z
5379,8,16,6,2018-10-07T13:15:00Z
4252,8,17,5,2018-10-06T14:00:00Z
1107,8,18,2,2018-10-06T14:00:00Z
8,9,1,11,2018-10-22T19:00:00Z
1108,9,2,16,2018-10-20T14:00:00Z
4253,9,5,9,2018-10-20T14:00:00Z
5380,9,6,14,2018-10-20T11:30:00Z
5165,9,8,7,2018-10-21T15:00:00Z
1944,9,10,12,2018-10-20T16:30:00Z
3215,9,13,4,2018-10-20T14:00:00Z
2144,9,15,3,2018-10-20T14:00:00Z
17296,9,19,17,2018-10-20T14:00:00Z
18384,9,20,18,2018-10-20T14:00:00Z
2145,10,3,20,2018-10-27T14:00:00Z
3216,10,4,6,2018-10-28T13:30:00Z
9,10,7,1,2018-10-28T13:30:00Z
1109,10,9,2,2018-10-27T14:00:00Z
10936,10,11,19,2018-10-27T16:30:00Z
1945,10,12,5,2018-10-27T14:00:00Z
5166,10,14,8,2018-10-28T16:00:00Z
14994,10,16,15,2018-10-27T14:00:00Z
12996,10,17,13,2018-10-29T20:00:00Z
9818,10,18,10,2018-10-27T14:00:00Z
10,11,1,12,2018-11-03T17:30:00Z
1110,11,2,14,2018-11-03T12:30:00Z
4255,11,5,11,2018-11-03T15:00:00Z
5382,11,6,7,2018-11-04T16:00:00Z
2146,11,8,3,2018-11-03T15:00:00Z
8750,11,10,9,2018-11-05T20:00:00Z
12997,11,13,16,2018-11-04T15:00:00Z
14995,11,15,18,2018-11-03T15:00:00Z
3217,11,19,4,2018-11-03T15:00:00Z
17298,11,20,17,2018-11-03T19:45:00Z
11,12,1,20,2018-11-11T16:30:00Z
2147,12,5,3,2018-11-10T12:30:00Z
5168,12,6,8,2018-11-11T14:15:00Z
6463,12,7,17,2018-11-10T17:30:00Z
9820,12,10,19,2018-11-10T15:00:00Z
3218,12,11,4,2018-11-10T15:00:00Z
1947,12,12,9,2018-11-11T12:00:00Z
12998,12,13,14,2018-11-11T16:30:00Z
1111,12,15,2,2018-11-10T15:00:00Z
16128,12,16,18,2018-11-10T15:00:00Z
12,13,2,1,2018-11-25T13:30:00Z
2148,13,3,11,2018-11-24T15:00:00Z
3219,13,4,15,2018-11-26T20:30:00Z
4257,13,8,5,2018-11-24T15:00:00Z
8752,13,9,16,2018-11-24T15:00:00Z
6464,13,14,7,2018-11-24T15:00:00Z
5384,13,17,6,2018-11-24T17:30:00Z
1948,13,18,12,2018-11-24T15:00:00Z
12999,13,19,13,2018-11-24T15:00:00Z
9821,13,20,10,2018-11-25T16:00:00Z
13,14,1,17,2018-12-02T14:05:00Z
4258,14,5,20,2018-11-30T20:00:00Z
5385,14,6,9,2018-12-02T12:00:00Z
3220,14,7,4,2018-12-01T15:00:00Z
2149,14,10,3,2018-12-01T15:00:00Z
10940,14,11,18,2018-12-01T15:00:00Z
1949,14,12,8,2018-12-02T16:15:00Z
1113,14,13,2,2018-12-01T15:00:00Z
14998,14,15,19,2018-12-01T15:00:00Z
13921,14,16,14,2018-12-01T17:30:00Z
1114,15,2,10,2018-12-04T19:45:00Z
2150,15,3,7,2018-12-04T19:45:00Z
1950,15,4,12,2018-12-05T19:45:00Z
5171,15,8,15,2018-12-05T19:45:00Z
8754,15,9,11,2018-12-05T19:45:00Z
14,15,14,1,2018-12-05T20:00:00Z
16131,15,17,16,2018-12-05T20:00:00Z
13001,15,18,13,2018-12-04T20:00:00Z
4259,15,19,5,2018-12-04T19:45:00Z
5386,15,20,6,2018-12-05T19:45:00Z
15,16,1,10,2018-12-08T15:00:00Z
1115,16,2,12,2018-12-08T12:30:00Z
2151,16,4,3,2018-12-08T15:00:00Z
4260,16,5,16,2018-12-08T15:00:00Z
5387,16,6,13,2018-12-08T17:30:00Z
5172,16,8,18,2018-12-10T20:00:00Z
10942,16,11,17,2018-12-08T19:45:00Z
8755,16,14,9,2018-12-08T15:00:00Z
15000,16,15,20,2018-12-09T16:00:00Z
6467,16,19,7,2018-12-08T15:00:00Z
2152,17,3,6,2018-12-16T13:30:00Z
6468,17,7,11,2018-12-15T15:00:00Z
8756,17,9,19,2018-12-15T17:30:00Z
9825,17,10,15,2018-12-15T15:00:00Z
1952,17,12,14,2018-12-16T16:00:00Z
5173,17,13,8,2018-12-15T12:30:00Z
16,17,16,1,2018-12-16T13:30:00Z
3223,17,17,4,2018-12-15T15:00:00Z
4261,17,18,5,2018-12-15T15:00:00Z
1116,17,20,2,2018-12-15T15:00:00Z
17,18,1,4,2018-12-22T12:30:00Z
1117,18,2,3,2018-12-22T15:00:00Z
4262,18,5,14,2018-12-22T17:30:00Z
5389,18,6,11,2018-12-22T15:00:00Z
5174,18,8,17,2018-12-23T16:00:00Z
9826,18,10,16,2018-12-22T15:00:00Z
6469,18,13,7,2018-12-22T15:00:00Z
8757,18,15,9,2018-12-22T15:00:00Z
18393,18,19,18,2018-12-22T15:00:00Z
1953,18,20,12,2018-12-21T20:00:00Z
18,19,3,1,2018-12-26T17:15:00Z
3225,19,4,8,2018-12-26T15:00:00Z
4263,19,7,5,2018-12-26T15:00:00Z
8758,19,9,20,2018-12-26T12:30:00Z
10945,19,11,13,2018-12-26T15:00:00Z
1954,19,12,15,2018-12-26T15:00:00Z
9827,19,14,10,2018-12-26T15:00:00Z
16135,19,16,19,2018-12-27T19:45:00Z
1118,19,17,2,2018-12-26T15:00:00Z
5390,19,18,6,2018-12-26T19:30:00Z
2155,20,3,8,2018-12-29T15:00:00Z
3226,20,4,19,2018-12-30T14:15:00Z
5391,20,7,6,2018-12-30T12:00:00Z
8759,20,9,10,2018-12-29T15:00:00Z
4264,20,11,5,2018-12-29T15:00:00Z
19,20,12,1,2018-12-29T17:30:00Z
1119,20,14,2,2018-12-30T16:30:00Z
13006,20,16,13,2018-12-30T14:15:00Z
17307,20,17,20,2018-12-29T15:00:00Z
15004,20,18,15,2018-12-29T15:00:00Z
20,21,1,9,2019-01-01T15:00:00Z
1120,21,2,18,2019-01-02T19:45:00Z
4265,21,5,17,2019-01-01T17:30:00Z
5392,21,6,16,2019-01-02T19:45:00Z
5177,21,8,11,2019-01-01T12:30:00Z
3227,21,10,4,2019-01-02T19:45:00Z
1956,21,13,12,2019-01-03T20:00:00Z
13928,21,15,14,2019-01-02T20:00:00Z
2156,21,19,3,2019-01-02T19:45:00Z
6472,21,20,7,2019-01-02T19:45:00Z
2157,22,3,12,2019-01-12T15:00:00Z
3228,22,4,9,2019-01-12T15:00:00Z
4266,22,5,10,2019-01-12T15:00:00Z
5393,22,6,15,2019-01-12T17:30:00Z
6473,22,7,18,2019-01-12T15:00:00Z
1121,22,8,2,2019-01-13T14:15:00Z
10948,22,11,16,2019-01-12T15:00:00Z
13008,22,13,20,2019-01-14T20:00:00Z
13929,22,17,14,2019-01-13T16:30:00Z
21,22,19,1,2019-01-12T12:30:00Z
22,23,1,6,2019-01-19T17:30:00Z
1122,23,2,19,2019-01-19T15:00:00Z
8762,23,9,17,2019-01-20T16:00:00Z
9793,23,10,13,2019-01-20T13:30:00Z
6474,23,12,7,2019-01-19T15:00:00Z
2158,23,14,3,2019-01-19T15:00:00Z
4267,23,15,5,2019-01-19T15:00:00Z
7514,23,16,8,2019-01-19T15:00:00Z
3229,23,18,4,2019-01-19T15:00:00Z
10949,23,20,11,2019-01-19T12:30:00Z
23,24,1,5,2019-01-29T19:45:00Z
1123,24,2,6,2019-01-30T19:45:00Z
2159,24,9,3,2019-01-29T19:45:00Z
7515,24,10,8,2019-01-29T19:45:00Z
10950,24,12,11,2019-01-30T20:00:00Z
3230,24,14,4,2019-01-29T20:00:00Z
13010,24,15,13,2019-01-29T20:00:00Z
6475,24,16,7,2019-01-30T19:45:00Z
17311,24,17,18,2019-01-30T20:00:00Z
19556,24,20,19,2019-01-29T19:45:00Z
2160,25,3,18,2019-02-02T15:00:00Z
3231,25,4,16,2019-02-02T15:00:00Z
1124,25,5,2,2019-02-02T17:30:00Z
5396,25,6,10,2019-02-02T15:00:00Z
6476,25,7,9,2019-02-02T15:00:00Z
7516,25,8,20,2019-02-02T15:00:00Z
7517,25,8,13,2019-02-06T19:45:00Z
10951,25,11,14,2019-02-03T14:05:00Z
24,25,13,1,2019-02-03T16:30:00Z
15009,25,17,15,2019-02-02T12:30:00Z
12069,25,19,12,2019-02-04T20:00:00Z
2161,26,3,4,2019-02-09T17:30:00Z
6477,26,7,19,2019-02-09T15:00:00Z
8765,26,9,14,2019-02-09T12:30:00Z
25,26,10,1,2019-02-09T15:00:00Z
1125,26,12,2,2019-02-09T15:00:00Z
5397,26,13,6,2019-02-10T16:00:00Z
4270,26,16,5,2019-02-09T15:00:00Z
