,element,event,value
0,1,1,50
1,1,2,50
2,1,3,50
3,1,4,50
4,1,5,50
5,1,6,50
6,1,7,50
7,1,8,50
8,1,9,50
9,1,10,50
10,1,11,50
11,1,12,50
12,1,13,49
13,1,14,49
14,1,15,49
15,1,16,49
16,1,17,49
17,1,18,49
18,1,19,49
19,1,20,48
20,1,21,48
21,1,22,48
22,1,23,48
23,1,24,48
24,1,25,48
25,1,26,48
26,1,27,48
27,1,28,48
28,1,29,48
29,1,30,48
30,1,32,48
31,1,33,47
32,1,34,47
33,1,35,47
35,1,36,47
36,1,37,47
37,1,38,47
38,2,1,50
39,2,2,50
40,2,3,49
41,2,4,49
42,2,5,48
43,2,6,48
44,2,7,48
45,2,8,48
46,2,9,48
47,2,10,48
48,2,11,48
49,2,12,48
50,2,13,48
51,2,14,48
52,2,15,48
53,2,16,48
54,2,17,48
55,2,18,48
56,2,19,48
57,2,20,48
58,2,21,48
59,2,22,48
60,2,23,48
61,2,24,48
62,2,25,48
63,2,26,48
64,2,27,48
65,2,28,48
66,2,29,48
67,2,30,48
68,2,32,48
69,2,33,48
70,2,34,49
71,2,35,49
73,2,36,49
74,2,37,49
75,2,38,49
76,3,1,55
77,3,2,55
78,3,3,55
79,3,4,55
80,3,5,55
81,3,6,54
82,3,7,54
83,3,8,54
84,3,9,54
85,3,10,54
86,3,11,54
87,3,12,54
88,3,13,54
89,3,14,54
90,3,15,54
91,3,16,54
92,3,17,54
93,3,18,54
94,3,19,54
95,3,20,54
96,3,21,54
97,3,22,54
98,3,23,54
99,3,24,54
100,3,25,54
101,3,26,54
102,3,27,54
103,3,28,54
104,3,29,54
105,3,30,54
106,3,32,54
107,3,33,54
108,3,34,54
109,3,35,54
111,3,36,54
112,3,37,54
113,3,38,54
114,4,1,55
115,4,2,55
116,4,3,55
117,4,4,55
118,4,5,54
119,4,6,54
120,4,7,54
121,4,8,54
122,4,9,54
123,4,10,54
124,4,11,54
125,4,12,54
126,4,13,54
127,4,14,54
128,4,15,54
129,4,16,54
130,4,17,55
131,4,18,55
132,4,19,54
133,4,20,54
134,4,21,54
135,4,22,54
136,4,23,54
137,4,24,54
138,4,25,54
139,4,26,54
140,4,27,54
141,4,28,54
142,4,29,54
143,4,30,54
144,4,32,54
145,4,33,54
146,4,34,53
147,4,35,53
149,4,36,53
150,4,37,53
151,4,38,53
152,5,1,55
153,5,2,55
154,5,3,55
155,5,4,55
156,5,5,55
157,5,6,55
158,5,7,55
159,5,8,55
160,5,9,55
161,5,10,55
162,5,11,55
163,5,12,55
164,5,13,55
165,5,14,54
166,5,15,54
167,5,16,54
168,5,17,54
169,5,18,54
170,5,19,54
171,5,20,54
172,5,21,54
173,5,22,54
174,5,23,54
175,5,24,54
176,5,25,54
177,5,26,54
178,5,27,54
179,5,28,54
180,5,29,54
181,5,30,54
182,5,32,54
183,5,33,54
184,5,34,54
185,5,35,54
187,5,36,54
188,5,37,54
189,5,38,54
190,6,1,45
191,6,2,45
192,6,3,45
193,6,4,44
194,6,5,44
195,6,6,44
196,6,7,44
197,6,8,44
198,6,9,44
199,6,10,44
200,6,11,44
201,6,12,44
202,6,13,44
203,6,14,44
204,6,15,44
205,6,16,44
206,6,17,44
207,6,18,44
208,6,19,44
209,6,20,44
210,6,21,43
211,6,22,43
212,6,23,43
213,6,24,43
214,6,25,43
215,6,26,43
216,6,27,43
217,6,28,43
218,6,29,43
219,6,30,43
220,6,32,43
221,6,33,43
222,6,34,43
223,6,35,43
225,6,36,43
226,6,37,43
227,6,38,43
228,7,1,55
229,7,2,55
230,7,3,55
231,7,4,54
232,7,5,54
233,7,6,54
234,7,7,54
235,7,8,54
236,7,9,54
237,7,10,54
238,7,11,54
239,7,12,54
240,7,13,54
241,7,14,54
242,7,15,54
243,7,16,54
244,7,17,54
245,7,18,54
246,7,19,54
247,7,20,54
248,7,21,54
249,7,22,54
250,7,23,54
251,7,24,54
252,7,25,54
253,7,26,54
254,7,27,54
255,7,28,54
256,7,29,54
257,7,30,54
258,7,32,54
259,7,33,54
260,7,34,54
261,7,35,54
263,7,36,54
264,7,37,54
265,7,38,54
266,8,1,50
267,8,2,50
268,8,3,49
269,8,4,49
270,8,5,49
271,8,6,49
272,8,7,49
273,8,8,49
274,8,9,49
275,8,10,49
276,8,11,49
277,8,12,49
278,8,13,49
279,8,14,49
280,8,15,49
281,8,16,50
282,8,17,51
283,8,18,51
284,8,19,50
285,8,20,50
286,8,21,49
287,8,22,49
288,8,23,49
289,8,24,49
290,8,25,50
291,8,26,50
292,8,27,51
293,8,28,51
294,8,29,51
295,8,30,50
296,8,32,50
297,8,33,50
298,8,34,50
299,8,35,50
301,8,36,50
302,8,37,50
303,8,38,49
304,10,1,50
305,10,2,50
306,10,3,49
307,10,4,49
308,10,5,48
309,10,6,48
310,10,7,48
311,10,8,48
312,10,9,48
313,10,10,48
314,10,11,48
315,10,12,47
316,10,13,47
317,10,14,47
318,10,15,47
319,10,16,47
320,10,17,47
321,10,18,47
322,10,19,47
323,10,20,47
324,10,21,47
325,10,22,47
326,10,23,47
327,10,24,47
328,10,25,47
329,10,26,47
330,10,27,47
331,10,28,47
332,10,29,47
333,10,30,47
334,10,32,47
335,10,33,47
336,10,34,47
337,10,35,47
339,10,36,47
340,10,37,47
341,10,38,47
342,11,1,50
343,11,2,50
344,11,3,49
345,11,4,48
346,11,5,48
347,11,6,47
348,11,7,47
349,11,8,47
350,11,9,46
351,11,10,46
352,11,11,46
353,11,12,46
354,11,13,46
355,11,14,45
356,11,15,45
357,11,16,45
358,11,17,45
359,11,18,45
360,11,19,45
361,11,20,45
362,11,21,45
363,11,22,45
364,11,23,45
365,11,24,45
366,11,25,45
367,11,26,45
368,11,27,45
369,11,28,45
370,11,29,45
371,11,30,45
372,11,32,45
373,11,33,45
374,11,34,45
375,11,35,45
377,11,36,45
378,11,37,45
379,11,38,45
380,12,1,55
381,12,2,55
382,12,3,54
383,12,4,54
384,12,5,53
385,12,6,53
386,12,7,53
387,12,8,52
388,12,9,52
389,12,10,52
390,12,11,51
391,12,12,51
392,12,13,51
393,12,14,51
394,12,15,51
395,12,16,51
396,12,17,51
397,12,18,51
398,12,19,51
399,12,20,51
400,12,21,51
401,12,22,51
402,12,23,51
403,12,24,51
404,12,25,51
405,12,26,51
406,12,27,51
407,12,28,51
408,12,29,51
409,12,30,51
410,12,32,51
411,12,33,51
412,12,34,51
413,12,35,51
415,12,36,51
416,12,37,51
417,12,38,51
418,13,1,85
419,13,2,85
420,13,3,84
421,13,4,83
422,13,5,83
423,13,6,83
424,13,7,83
425,13,8,83
426,13,9,83
427,13,10,84
428,13,11,84
429,13,12,84
430,13,13,83
431,13,14,83
432,13,15,82
433,13,16,81
434,13,17,81
435,13,18,81
436,13,19,80
437,13,20,80
438,13,21,80
439,13,22,80
440,13,23,80
441,13,24,80
442,13,25,80
443,13,26,80
444,13,27,79
445,13,28,79
446,13,29,79
447,13,30,79
448,13,32,79
449,13,33,79
450,13,34,79
451,13,35,79
453,13,36,79
454,13,37,79
455,13,38,79
456,14,1,75
457,14,2,75
458,14,3,74
459,14,4,74
460,14,5,74
461,14,6,74
462,14,7,74
463,14,8,74
464,14,9,74
465,14,10,74
466,14,11,74
467,14,12,74
468,14,13,74
469,14,14,73
470,14,15,73
471,14,16,73
472,14,17,73
473,14,18,72
474,14,19,72
475,14,20,72
476,14,21,72
477,14,22,72
478,14,23,72
479,14,24,72
480,14,25,72
481,14,26,72
482,14,27,71
483,14,28,71
484,14,29,71
485,14,30,71
486,14,32,71
487,14,33,71
488,14,34,71
489,14,35,71
491,14,36,71
492,14,37,71
493,14,38,71
494,15,1,55
495,15,2,55
496,15,3,55
497,15,4,55
498,15,5,55
499,15,6,55
500,15,7,55
501,15,8,55
502,15,9,55
503,15,10,55
504,15,11,55
505,15,12,55
506,15,13,55
507,15,14,55
508,15,15,55
509,15,16,55
510,15,17,55
511,15,18,55
512,15,19,55
513,15,20,54
514,15,21,54
515,15,22,54
516,15,23,54
517,15,24,54
518,15,25,54
519,15,26,54
520,15,27,54
521,15,28,54
522,15,29,54
523,15,30,54
524,15,32,54
525,15,33,54
526,15,34,54
527,15,35,54
529,15,36,54
530,15,37,54
531,15,38,54
532,16,1,45
533,16,2,45
534,16,3,44
535,16,4,44
536,16,5,44
537,16,6,44
538,16,7,43
539,16,8,43
540,16,9,43
541,16,10,43
542,16,11,43
543,16,12,43
544,16,13,43
545,16,14,43
546,16,15,43
547,16,16,43
548,16,17,43
549,16,18,43
550,16,19,43
551,16,20,43
552,16,21,43
553,16,22,42
554,16,23,42
555,16,24,42
556,16,25,42
557,16,26,42
558,16,27,42
559,16,28,42
560,16,29,42
561,16,30,42
562,16,32,42
563,16,33,42
564,16,34,42
565,16,35,42
567,16,36,42
568,16,37,42
569,16,38,42
570,17,1,55
571,17,2,55
572,17,3,54
573,17,4,54
574,17,5,53
575,17,6,53
576,17,7,53
577,17,8,53
578,17,9,53
579,17,10,53
580,17,11,53
581,17,12,53
582,17,13,53
583,17,14,53
584,17,15,53
585,17,16,53
586,17,17,53
587,17,18,53
588,17,19,53
589,17,20,53
590,17,21,53
591,17,22,53
592,17,23,53
593,17,24,53
594,17,25,53
595,17,26,53
596,17,27,52
597,17,28,52
598,17,29,52
599,17,30,52
600,17,32,52
601,17,33,52
602,17,34,52
603,17,35,52
605,17,36,52
606,17,37,52
607,17,38,52
608,18,1,70
609,18,2,70
610,18,3,71
611,18,4,72
612,18,5,72
613,18,6,71
614,18,7,70
615,18,8,69
616,18,9,69
617,18,10,68
618,18,11,68
619,18,12,67
620,18,13,67
621,18,14,67
622,18,15,67
623,18,16,67
624,18,17,67
625,18,18,67
626,18,19,67
627,18,20,67
628,18,21,67
629,18,22,67
630,18,23,67
631,18,24,67
632,18,25,67
633,18,26,67
634,18,27,67
635,18,28,67
636,18,29,68
637,18,30,68
638,18,32,68
639,18,33,68
640,18,34,68
641,18,35,67
643,18,36,67
644,18,37,66
645,18,38,66
646,19,1,45
647,19,2,45
648,19,3,45
649,19,4,44
650,19,5,44
651,19,6,44
652,19,7,44
653,19,8,44
654,19,9,44
655,19,10,44
656,19,11,44
657,19,12,44
658,19,13,44
659,19,14,44
660,19,15,44
661,19,16,44
662,19,17,44
663,19,18,44
664,19,19,44
665,19,20,44
666,19,21,44
667,19,22,44
668,19,23,44
669,19,24,44
670,19,25,44
671,19,26,44
672,19,27,44
673,19,28,44
674,19,29,44
675,19,30,44
676,19,32,44
677,19,33,44
678,19,34,44
679,19,35,44
681,19,36,44
682,19,37,44
683,19,38,44
684,20,1,45
685,20,2,45
686,20,3,45
687,20,4,44
688,20,5,44
689,20,6,44
690,20,7,44
691,20,8,44
692,20,9,44
693,20,10,44
694,20,11,44
695,20,12,44
696,20,13,44
697,20,14,44
698,20,15,44
699,20,16,44
700,20,17,44
701,20,18,44
702,20,19,44
703,20,20,44
704,20,21,44
705,20,22,44
706,20,23,44
707,20,24,44
708,20,25,44
709,20,26,44
710,20,27,44
711,20,28,44
712,20,29,44
713,20,30,44
714,20,32,44
715,20,33,44
716,20,34,44
717,20,35,44
719,20,36,44
720,20,37,44
721,20,38,44
722,21,1,65
723,21,2,65
724,21,3,65
725,21,4,65
726,21,5,65
727,21,6,65
728,21,7,65
729,21,8,65
730,21,9,65
731,21,10,65
732,21,11,65
733,21,12,65
734,21,13,65
735,21,14,65
736,21,15,65
737,21,16,65
738,21,17,65
739,21,18,65
740,21,19,65
741,21,20,65
742,21,21,65
743,21,22,64
744,21,23,64
745,21,24,64
746,21,25,64
747,21,26,64
748,21,27,64
749,21,28,64
750,21,29,64
751,21,30,64
752,21,32,64
753,21,33,64
754,21,34,64
755,21,35,64
