element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,event,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,value,transfers_balance,selected,transfers_in,transfers_out,attempted_passes,big_chances_created,big_chances_missed,clearances_blocks_interceptions,completed_passes,dribbles,errors_leading_to_goal,errors_leading_to_goal_attempt,fouls,key_passes,offside,open_play_crosses,penalties_conceded,recoveries,tackled,tackles,target_missed,winning_goals
454,10,4,0,False,2016-08-15T19:00:00Z,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,55,0,14023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
142,3,17,1,True,2016-08-13T14:00:00Z,1,1,1,15,0,0,0,0,0,0,0,0,0,0,0,6,8.2,0.3,0.0,0.9,60,0,13918,0,0,3,0,0,1,2,0,0,0,0,0,0,0,0,1,1,2,0,0
16,8,9,2,True,2016-08-14T15:00:00Z,3,4,1,60,0,0,0,3,0,0,0,0,0,0,0,5,2.2,4.9,23.0,3.0,80,0,163170,0,0,26,0,0,2,22,1,0,0,0,0,0,0,0,2,2,0,1,0
482,7,13,0,False,2016-08-13T14:00:00Z,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,50,0,1051,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80,10,20,0,True,2016-08-15T19:00:00Z,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,55,0,1243,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
163,4,8,5,True,2016-08-13T11:30:00Z,2,1,1,90,0,1,0,1,0,0,0,0,0,0,0,10,14.4,12.2,30.0,5.7,60,0,26039,0,0,15,0,0,0,10,0,0,0,1,1,1,0,0,1,2,0,2,0
164,4,8,8,True,2016-08-13T11:30:00Z,2,1,1,90,1,0,0,1,0,0,0,0,0,0,2,29,45.2,16.8,45.0,10.7,45,0,38151,0,0,28,0,0,3,20,3,0,1,1,1,0,0,0,6,6,0,0,0
283,6,14,2,True,2016-08-13T14:00:00Z,1,1,1,90,0,0,0,1,0,0,0,0,0,0,0,6,3.2,2.2,9.0,1.4,45,0,17663,0,0,37,0,0,4,31,0,0,0,4,0,0,0,0,2,1,0,1,0
30,9,11,0,True,2016-08-14T12:30:00Z,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,0,4315,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
286,6,14,1,True,2016-08-13T14:00:00Z,1,1,1,69,0,0,0,1,0,0,0,1,0,0,0,3,2.0,1.3,0.0,0.3,45,0,2723,0,0,29,0,0,3,25,0,0,0,2,0,0,0,0,4,0,0,0,0
205,8,1,11,False,2016-08-14T15:00:00Z,3,4,1,75,1,1,0,3,0,0,0,1,0,0,2,33,51.2,33.7,57.0,14.2,70,0,155525,0,0,31,0,0,1,26,1,0,0,2,3,0,0,0,1,3,0,0,0
345,5,10,0,False,2016-08-13T16:30:00Z,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,40,0,1776,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
285,6,14,0,True,2016-08-13T14:00:00Z,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,0,2522,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,9,11,7,True,2016-08-14T12:30:00Z,1,3,1,90,1,0,0,3,0,0,0,0,0,0,0,23,42.4,4.3,27.0,7.4,45,0,21505,0,0,47,0,0,1,39,2,0,0,0,0,0,0,0,3,2,0,0,0
415,7,13,1,False,2016-08-13T14:00:00Z,1,1,1,72,0,0,0,1,0,0,0,1,0,0,0,7,5.6,13.7,3.0,2.2,45,0,1330,0,0,34,0,0,1,27,4,0,0,3,0,0,0,0,3,1,1,1,0
261,5,10,1,False,2016-08-13T16:30:00Z,2,1,1,27,0,0,0,1,0,0,0,0,0,0,0,4,3.2,0.3,0.0,0.4,55,0,26092,0,0,3,0,0,3,3,1,0,0,2,0,0,0,0,3,0,0,0,0
450,10,4,2,False,2016-08-15T19:00:00Z,2,1,1,90,0,0,0,2,0,0,0,0,0,4,0,16,29.8,0.0,0.0,3.0,50,0,94480,0,0,28,0,0,0,12,0,0,0,0,0,0,0,0,8,0,0,0,0
158,4,8,2,True,2016-08-13T11:30:00Z,2,1,1,90,0,0,0,1,0,0,0,0,0,0,0,14,9.2,11.4,4.0,2.5,50,0,14379,0,0,61,0,0,5,38,0,0,0,1,1,0,0,0,12,0,1,0,0
187,4,7,2,False,2016-08-13T11:30:00Z,2,1,1,90,0,0,0,2,0,0,0,0,0,0,0,9,5.0,46.4,8.0,5.9,75,0,401655,0,0,24,2,0,1,19,3,0,0,4,4,0,0,0,3,5,0,2,0
192,8,1,0,False,2016-08-14T15:00:00Z,3,4,1,90,0,0,0,3,0,0,0,1,0,0,0,5,7.0,15.5,0.0,2.3,50,0,176388,0,0,38,0,0,4,28,0,0,0,2,1,0,1,1,4,0,0,0,0
281,6,14,2,True,2016-08-13T14:00:00Z,1,1,1,90,0,0,0,1,0,0,0,0,0,0,0,2,8.4,19.9,23.0,5.1,55,0,10060,0,0,17,0,1,1,13,2,0,0,2,1,0,2,0,3,5,1,2,0
220,5,15,1,True,2016-08-13T16:30:00Z,2,1,1,90,0,0,0,1,0,0,0,1,0,0,0,16,31.8,3.8,2.0,3.8,60,0,187515,0,0,79,0,0,16,71,3,0,0,2,0,0,0,0,6,2,0,0,0
524,8,1,0,False,2016-08-14T15:00:00Z,3,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,8,9,2,True,2016-08-14T15:00:00Z,3,4,1,90,0,0,0,4,0,0,0,0,0,0,0,0,5.4,15.3,14.0,3.5,110,0,296455,0,0,17,0,0,0,12,1,0,0,0,1,4,0,0,0,4,0,0,0
522,6,14,0,True,2016-08-13T14:00:00Z,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
