element,safe_web_name,element_type,team,safe_team_name
1,cech,1,1,arsenal
2,leno,1,1,arsenal
3,koscielny,2,1,arsenal
4,bellerin,2,1,arsenal
5,monreal,2,1,arsenal
6,holding,2,1,arsenal
7,mustafi,2,1,arsenal
8,kolasinac,2,1,arsenal
10,mavropanos,2,1,arsenal
11,lichtsteiner,2,1,arsenal
12,sokratis,2,1,arsenal
13,ozil,3,1,arsenal
14,ramsey,3,1,arsenal
15,iwobi,3,1,arsenal
16,elneny,3,1,arsenal
17,xhaka,3,1,arsenal
18,mkhitaryan,3,1,arsenal
19,nelson,3,1,arsenal
20,maitland-niles,3,1,arsenal
21,welbeck,4,1,arsenal
22,lacazette,4,1,arsenal
23,aubameyang,4,1,arsenal
450,torreira,3,1,arsenal
451,guendouzi,3,1,arsenal
542,martinez,1,1,arsenal
545,smith-rowe,3,1,arsenal
546,medley,2,1,arsenal
552,nketiah,4,1,arsenal
563,saka,3,1,arsenal
566,willock,3,1,arsenal
581,jenkinson,2,1,arsenal
586,suarez,3,1,arsenal
24,begovic,1,2,bournemouth
25,boruc,1,2,bournemouth
26,francis,2,2,bournemouth
27,steve cook,2,2,bournemouth
28,daniels,2,2,bournemouth
29,adam smith,2,2,bournemouth
30,mings,2,2,bournemouth
31,ake,2,2,bournemouth
32,simpson,2,2,bournemouth
34,pugh,3,2,bournemouth
35,surman,3,2,bournemouth
36,stanislas,3,2,bournemouth
37,gosling,3,2,bournemouth
38,ibe,3,2,bournemouth
39,lewis cook,3,2,bournemouth
40,fraser,3,2,bournemouth
41,hyndman,3,2,bournemouth
42,brooks,3,2,bournemouth
43,wilson,4,2,bournemouth
44,mousset,4,2,bournemouth
45,king,4,2,bournemouth
46,defoe,4,2,bournemouth
241,clyne,2,2,bournemouth
259,solanke,4,2,bournemouth
473,rico,2,2,bournemouth
494,lerma,3,2,bournemouth
580,mepham,2,2,bournemouth
599,surridge,4,2,bournemouth
600,taylor,3,2,bournemouth
613,ofoborh,3,2,bournemouth
616,travers,1,2,bournemouth
620,butcher,3,2,bournemouth
47,ryan,1,3,brighton
48,dunk,2,3,brighton
49,duffy,2,3,brighton
50,bruno,2,3,brighton
51,bong,2,3,brighton
52,suttner,2,3,brighton
53,schelotto,2,3,brighton
54,balogun,2,3,brighton
55,knockaert,3,3,brighton
56,stephens,3,3,brighton
57,kayal,3,3,brighton
58,march,3,3,brighton
59,gross,3,3,brighton
60,propper,3,3,brighton
61,izquierdo,3,3,brighton
62,murray,4,3,brighton
63,hemed,4,3,brighton
64,baldock,4,3,brighton
65,locadia,4,3,brighton
66,andone,4,3,brighton
179,button,1,3,brighton
439,steele,1,3,brighton
440,bernardo,2,3,brighton
466,bissouma,3,3,brighton
476,jahanbakhsh,3,3,brighton
503,montoya,2,3,brighton
551,gyokeres,4,3,brighton
559,white,2,3,brighton
572,sanders,3,3,brighton
582,burn,2,3,brighton
617,molumby,3,3,brighton
67,heaton,1,4,burnley
68,pope,1,4,burnley
69,lowton,2,4,burnley
70,mee,2,4,burnley
71,ward,2,4,burnley
72,tarkowski,2,4,burnley
73,long,2,4,burnley
74,taylor,2,4,burnley
75,bardsley,2,4,burnley
76,gudmundsson,3,4,burnley
77,defour,3,4,burnley
78,hendrick,3,4,burnley
79,brady,3,4,burnley
80,westwood,3,4,burnley
81,walters,3,4,burnley
82,cork,3,4,burnley
83,lennon,3,4,burnley
84,vokes,4,4,burnley
85,barnes,4,4,burnley
86,wells,4,4,burnley
87,wood,4,4,burnley
485,lindegaard,1,4,burnley
490,hart,1,4,burnley
491,gibson,2,4,burnley
495,vydra,4,4,burnley
534,mcneil,3,4,burnley
564,koiki,2,4,burnley
583,benson,3,4,burnley
590,crouch,4,4,burnley
615,driscoll-glennon,2,4,burnley
33,arter,3,5,cardiff
88,etheridge,1,5,cardiff
89,smithies,1,5,cardiff
90,morrison,2,5,cardiff
91,bamba,2,5,cardiff
92,ecuele manga,2,5,cardiff
93,connolly,2,5,cardiff
94,bennett,2,5,cardiff
95,peltier,2,5,cardiff
96,jazz richards,2,5,cardiff
97,halford,2,5,cardiff
98,ralls,3,5,cardiff
99,hoilett,3,5,cardiff
100,mendez-laing,3,5,cardiff
101,paterson,3,5,cardiff
102,gunnarsson,3,5,cardiff
103,pilkington,3,5,cardiff
104,damour,3,5,cardiff
105,ward,3,5,cardiff
106,murphy,3,5,cardiff
107,zohore,4,5,cardiff
108,bogle,4,5,cardiff
109,madine,4,5,cardiff
110,reid,4,5,cardiff
176,niasse,4,5,cardiff
467,cunningham,2,5,cardiff
504,camarasa,3,5,cardiff
535,harris,3,5,cardiff
537,brian murphy,1,5,cardiff
573,healey,4,5,cardiff
589,bacuna,2,5,cardiff
111,courtois,1,6,chelsea
112,caballero,1,6,chelsea
113,azpilicueta,2,6,chelsea
114,cahill,2,6,chelsea
115,alonso,2,6,chelsea
116,david luiz,2,6,chelsea
117,moses,2,6,chelsea
118,rudiger,2,6,chelsea
119,christensen,2,6,chelsea
120,zappacosta,2,6,chelsea
121,emerson,2,6,chelsea
122,hazard,3,6,chelsea
123,fabregas,3,6,chelsea
124,willian,3,6,chelsea
125,pedro,3,6,chelsea
126,kante,3,6,chelsea
127,barkley,3,6,chelsea
128,drinkwater,3,6,chelsea
129,bakayoko,3,6,chelsea
130,ampadu,3,6,chelsea
131,hudson-odoi,3,6,chelsea
132,loftus-cheek,3,6,chelsea
133,giroud,4,6,chelsea
134,morata,4,6,chelsea
459,jorginho,3,6,chelsea
496,abraham,4,6,chelsea
498,kepa,1,6,chelsea
499,kovacic,3,6,chelsea
579,higuain,4,6,chelsea
624,guehi,2,6,chelsea
135,hennessey,1,7,crystal palace
136,speroni,1,7,crystal palace
137,guaita,1,7,crystal palace
138,tomkins,2,7,crystal palace
139,dann,2,7,crystal palace
140,kelly,2,7,crystal palace
141,schlupp,2,7,crystal palace
142,van aanholt,2,7,crystal palace
143,sakho,2,7,crystal palace
144,riedewald,2,7,crystal palace
145,wan-bissaka,2,7,crystal palace
147,mcarthur,3,7,crystal palace
148,sako,3,7,crystal palace
149,townsend,3,7,crystal palace
150,milivojevic,3,7,crystal palace
151,zaha,4,7,crystal palace
152,benteke,4,7,crystal palace
153,sorloth,4,7,crystal palace
412,kouyate,3,7,crystal palace
441,ward,2,7,crystal palace
442,jach,2,7,crystal palace
443,souare,2,7,crystal palace
444,wickham,4,7,crystal palace
477,kaikai,3,7,crystal palace
486,meyer,3,7,crystal palace
505,ayew,4,7,crystal palace
576,tupper,1,7,crystal palace
584,perri,1,7,crystal palace
592,batshuayi,4,7,crystal palace
609,woods,2,7,crystal palace
618,dreher,3,7,crystal palace
619,tavares,2,7,crystal palace
154,pickford,1,8,everton
155,stekelenburg,1,8,everton
156,baines,2,8,everton
157,coleman,2,8,everton
158,jagielka,2,8,everton
159,williams,2,8,everton
160,holgate,2,8,everton
161,kenny,2,8,everton
162,keane,2,8,everton
163,martina,2,8,everton
164,walcott,3,8,everton
165,bolasie,3,8,everton
166,mccarthy,3,8,everton
167,schneiderlin,3,8,everton
168,gueye,3,8,everton
169,davies,3,8,everton
170,lookman,3,8,everton
171,klaassen,3,8,everton
172,sigurdsson,3,8,everton
173,vlasic,3,8,everton
174,baningime,3,8,everton
175,calvert-lewin,4,8,everton
177,tosun,4,8,everton
393,richarlison,3,8,everton
469,mirallas,3,8,everton
470,sandro,4,8,everton
484,digne,2,8,everton
506,mina,2,8,everton
507,bernard,3,8,everton
508,andre gomes,3,8,everton
526,zouma,2,8,everton
528,dowell,3,8,everton
532,browning,2,8,everton
9,chambers,2,9,fulham
178,bettinelli,1,9,fulham
180,ream,2,9,fulham
181,odoi,2,9,fulham
182,cairney,3,9,fulham
183,mcdonald,3,9,fulham
184,sessegnon,3,9,fulham
185,johansen,3,9,fulham
186,ayite,3,9,fulham
187,kebano,3,9,fulham
188,fonte,3,9,fulham
189,kamara,4,9,fulham
455,le marchand,2,9,fulham
456,seri,3,9,fulham
460,christie,2,9,fulham
474,fabri,1,9,fulham
478,schurrle,3,9,fulham
480,mitrovic,4,9,fulham
487,mawson,2,9,fulham
509,rico,1,9,fulham
510,bryan,2,9,fulham
511,fosu-mensah,2,9,fulham
512,zambo anguissa,3,9,fulham
513,vietto,4,9,fulham
521,cisse,3,9,fulham
541,steven sessegnon,2,9,fulham
575,babel,3,9,fulham
593,nordtveit,2,9,fulham
594,markovic,3,9,fulham
610,elliott,3,9,fulham
621,de la torre,3,9,fulham
146,puncheon,3,10,huddersfield
190,hamer,1,10,huddersfield
191,lossl,1,10,huddersfield
192,schindler,2,10,huddersfield
193,lowe,2,10,huddersfield
194,smith,2,10,huddersfield
195,zanka,2,10,huddersfield
196,malone,2,10,huddersfield
197,hadergjonaj,2,10,huddersfield
198,kongolo,2,10,huddersfield
199,mooy,3,10,huddersfield
200,van la parra,3,10,huddersfield
201,hogg,3,10,huddersfield
202,billing,3,10,huddersfield
203,ince,3,10,huddersfield
204,williams,3,10,huddersfield
205,sabiri,3,10,huddersfield
206,pritchard,3,10,huddersfield
207,sobhi,3,10,huddersfield
208,bacuna,3,10,huddersfield
209,quaner,4,10,huddersfield
210,depoitre,4,10,huddersfield
211,mounie,4,10,huddersfield
212,kachunga,4,10,huddersfield
461,durm,2,10,huddersfield
471,diakhaby,3,10,huddersfield
514,mbenza,3,10,huddersfield
522,stankovic,2,10,huddersfield
