element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,event,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,value,transfers_balance,selected,transfers_in,transfers_out,attempted_passes,big_chances_created,big_chances_missed,clearances_blocks_interceptions,completed_passes,dribbles,errors_leading_to_goal,errors_leading_to_goal_attempt,fouls,key_passes,offside,open_play_crosses,penalties_conceded,recoveries,tackled,tackles,target_missed,winning_goals
1,1,13,3,True,2018-08-12T15:00:00Z,0,2,1,90,0,0,0,2,0,0,0,0,0,6,0,24,47.0,0.0,0.0,4.7,50,0,70767,0,0,42,0,0,2,31,0,0,0,0,0,0,0,0,9,0,0,0,0
1,14,6,3,False,2018-08-18T16:30:00Z,3,2,2,90,0,0,0,3,0,0,0,0,0,8,0,26,53.0,0.0,0.0,5.3,50,188,90038,6059,5871,35,0,0,1,25,0,0,0,0,0,0,0,0,8,0,0,0,0
1,21,19,3,True,2018-08-25T14:00:00Z,3,1,3,90,0,0,0,1,0,0,0,0,0,4,0,17,27.8,0.0,0.0,2.8,50,8540,107301,19550,11010,24,0,0,0,20,0,0,0,0,0,0,0,0,10,0,0,0,0
1,33,5,1,False,2018-09-02T12:30:00Z,2,3,4,90,0,0,0,2,0,0,0,0,0,1,0,8,2.4,0.0,0.0,0.2,50,9582,123566,19332,9750,38,0,0,0,24,0,0,2,0,0,0,0,0,8,0,0,0,0
1,46,15,2,False,2018-09-15T14:00:00Z,1,2,5,90,0,0,0,1,0,0,0,0,0,1,0,13,14.2,0.0,0.0,1.4,50,-3297,123310,8837,12134,33,0,0,2,23,0,0,0,0,0,0,0,0,13,0,0,0,0
1,51,8,11,True,2018-09-23T15:00:00Z,2,0,6,90,0,0,1,0,0,0,0,0,0,6,3,36,43.4,0.0,0.0,4.3,50,-797,124787,6593,7390,33,0,0,2,23,0,0,0,0,0,0,0,0,9,0,1,0,0
1,61,18,1,True,2018-09-29T14:00:00Z,2,0,7,45,0,0,0,0,0,0,0,0,0,1,0,6,17.2,0.0,0.0,1.7,50,9392,138891,13595,4203,18,0,0,1,7,0,0,0,0,0,0,0,0,5,0,0,0,0
1,74,9,0,False,2018-10-07T11:00:00Z,1,5,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,50,-28910,107912,924,29834,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,81,11,0,True,2018-10-22T19:00:00Z,3,1,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,50,-16395,92724,336,16731,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,93,7,0,False,2018-10-28T13:30:00Z,2,2,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,50,-2999,90783,1139,4138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
